detection_count,mean_frp,max_frp,mean_brightness,max_brightness,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,land_cover_code,is_cropland,is_tree_cover,is_built_up,cropland_percentage,tree_cover_percentage,built_up_percentage,grassland_percentage,shrubland_percentage,bare_sparse_percentage,nearest_industrial_distance_km,nearby_industrial_facility_count,nearby_industrial_capacity_mw,cluster_id,centroid_lat,centroid_lon,fire_class
3,1.0833333333333333,1.24,309.1333333333333,317.89,2,5,1.0657877862545386,0.4,1.0,0.6,0.4840768285367254,50.30192071341813,40.0,1,0,0,96.99759906932997,1.1880894037276304,0.477710947748818,1.3366005791935844,0.0,0.0,69.83823832938619,0,0.0,188.0,23.72825333333333,78.37240000000001,AGRICULTURAL
3,4.48,6.1,338.26666666666665,348.17,2,2,1.0701657850422936,1.0,0.4,1.5,0.4830531000103308,55.07632750025827,10.0,0,1,0,0.0693052152174451,94.05955298136185,0.0,4.428108215143189,1.4281824707309223,0.0148511175465953,57.47498181910774,0,0.0,819.0,21.69955333333333,80.42948666666668,AGRICULTURAL
19,2.201052631578948,3.72,310.3768421052632,317.62,5,5,1.929041594164458,1.0,1.0,3.8,0.3414086034122234,71.13521508530559,40.0,1,0,0,5.066706269646791,15.710007178040147,26.400336625331057,33.08581470755674,0.0,17.83371698720329,22.108688663026133,0,0.0,3.0,23.778505789473684,86.36813157894738,INDUSTRIAL
20,4.227500000000001,9.76,326.603,344.14,4,4,0.4532658918821614,1.0,0.1333333333333333,5.0,0.6881053257947688,76.26210651589538,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,3.0,53.18868,50.999434,INDUSTRIAL
2,2.25,2.3,333.055,333.94,1,1,0.248411270283477,1.0,0.2,2.0,0.8010180809829839,59.0254520245746,10.0,0,1,0,0.0,98.93814509541843,0.0,0.7574069948763644,0.3044479097052053,0.0,51.65811543085847,0,0.0,366.0,22.27184,79.944205,AGRICULTURAL
3,4.373333333333334,5.66,333.68333333333334,343.62,2,2,0.837917315784368,1.0,0.4,1.5,0.5440941175165054,56.60235293791264,10.0,0,1,0,0.0024751862577658,96.03227642880128,0.0,1.9083686047375064,0.0618796564441474,1.9900497512437807,32.14959864863362,0,0.0,19.0,29.33741333333333,79.41951333333333,WILDFIRE
20,11.862000000000002,36.75,330.1455,352.96,4,5,3.4682936098411066,0.8,1.0,4.0,0.2237990802120902,62.59497700530227,30.0,0,0,0,1.0346278557461448,90.62894482809833,0.1336600579193584,8.18544095443182,0.0074255587732976,0.0099007450310635,33.34074290978848,0,0.0,17.0,29.3155705,79.70564100000001,WILDFIRE
3,2.5766666666666667,3.55,333.3866666666667,335.49,1,1,0.2521717161871832,1.0,0.2,3.0,0.7986125122239329,67.94450048895732,10.0,0,1,0,15.992178411425458,30.02895967921586,18.209945298383705,34.16499591594268,0.3267245860250984,1.128684933541249,0.9650424608629184,4,7770.0,10.0,22.38455,82.74559,INDUSTRIAL
7,0.7271428571428571,2.57,302.90142857142854,338.33,6,65,0.3377522692096781,0.0923076923076923,1.0,0.1076923076923077,0.7475225593082219,62.670133141559646,30.0,0,0,0,47.27110715081309,26.343407341402443,8.700279696047128,16.363456350090345,0.0,0.816811465062746,7.76906855634315,2,630.0,1.0,22.77756,86.12505714285714,INDUSTRIAL
2,4.385,5.17,333.02,335.89,1,1,0.2206255875377945,1.0,0.2,2.0,0.8192520378154343,68.77008151261737,60.0,0,0,0,33.47194376376822,21.677681245513725,0.7549318086185985,26.17014430335883,0.6806762208856216,12.8684933541249,7.485019068537938,2,2510.0,7.0,22.323855,82.776745,INDUSTRIAL
2,1.645,3.01,315.59000000000003,330.58,1,1,0.1766772678788965,1.0,0.0333333333333333,2.0,0.8498507001861447,68.9970140037229,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,24.0,52.73802,50.18669,INDUSTRIAL
3,4.8500000000000005,6.7,339.8366666666667,344.6,2,3,0.8970987200064463,0.6666666666666666,0.6,1.0,0.527120697227924,50.1780174306981,40.0,1,0,0,93.74025395411005,2.0519294076879286,2.113809064132076,1.0197767381995495,0.955421895497636,0.118808940372763,56.28329434311057,0,0.0,332.0,30.101910000000004,75.78643333333333,AGRICULTURAL
10,27.049,93.85,332.938,349.67,2,2,1.2359980972543854,1.0,0.0666666666666666,5.0,0.4472275719858235,71.44455143971646,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,10.0,52.85542499999999,49.950365,INDUSTRIAL
3,2.95,3.74,326.29,339.15,2,2,0.313821655557787,1.0,0.4,1.5,0.7611383141461822,62.02845785365456,60.0,0,0,0,11.497240167322593,43.60040593054627,28.65770649241356,7.264671666542907,0.0099007450310635,7.727531496745129,1.392589305799573,1,560.0,1.0,21.194496666666662,81.41637333333334,INDUSTRIAL
5,0.8039999999999999,0.98,302.81000000000006,310.08,4,4,0.2554558773527608,1.0,0.1333333333333333,1.25,0.7965234127610984,65.30546825522197,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,19.0,52.012954,51.689278,INDUSTRIAL
7,4.374285714285714,9.82,321.2214285714286,346.43,2,2,0.3781525329896496,1.0,0.0666666666666666,3.5,0.7256090861224795,71.7621817224496,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,25.0,54.59529571428572,51.41551,INDUSTRIAL
4,4.925,6.84,347.6825,352.87,1,1,1.1268609766253617,1.0,0.2,4.0,0.470176476502322,54.754411912558055,30.0,0,0,0,64.9513625900349,0.0346526076087225,0.0123759312888294,34.73428875522883,0.0,0.2673201158387168,46.17126552331492,0,0.0,134.0,25.271975,81.20718,AGRICULTURAL
3,3.293333333333333,3.31,336.3533333333333,339.91,2,3,1.3592125890769302,0.6666666666666666,0.6,1.0,0.4238702373113657,47.59675593278414,40.0,1,0,0,86.05727581000471,1.5469914111036855,5.650850226479543,4.950372515531794,1.7227296354050643,0.071780401475211,35.785542377175844,0,0.0,173.0,31.17314,74.86217,AGRICULTURAL
2,3.62,3.62,335.635,338.78,1,1,0.4553242426111768,1.0,0.2,2.0,0.687132097934256,56.1783024483564,30.0,0,0,0,30.34083314769436,1.1583871686344398,0.071780401475211,66.09984901363828,2.329150268557709,0.0,19.48149949723817,0,0.0,1202.0,24.789905,77.086355,AGRICULTURAL
19,3.123684210526316,6.62,316.1668421052632,342.85,5,5,1.33017519341922,1.0,1.0,3.8,0.429152281263725,73.32880703159313,60.0,0,0,0,3.212791762580134,15.301601445508776,5.888468107225068,19.21982129155219,0.0,46.12757109972526,13.49030400260314,0,0.0,1.0,23.720585263157897,86.44243578947369,INDUSTRIAL
2,3.66,4.59,337.605,339.7,2,3,0.9993453692148064,0.6666666666666666,0.6,0.6666666666666666,0.5001637112815208,48.83742611537135,10.0,0,1,0,1.831637830746764,84.46325586000346,0.0,11.01457884705824,2.69052746219153,0.0,77.95254341283066,0,0.0,173.0,24.578760000000003,79.38059000000001,AGRICULTURAL
10,2.904,5.56,321.167,338.81,2,2,1.5915336196069894,1.0,0.4,5.0,0.3858718993395315,59.64679748348829,10.0,0,1,0,1.987574564986016,75.08725031558625,0.8044355337739164,22.11578921313829,0.0,0.0049503725155317,68.92080409285451,0,0.0,123.0,29.625191,79.819531,WILDFIRE
5,3.3280000000000003,9.6,325.18,347.79,3,4,1.3105653883854604,0.75,0.8,1.25,0.4327945034694577,55.81986258673645,10.0,0,1,0,0.0569292839286156,94.2649934407564,0.0618796564441474,5.613722432613054,0.0,0.0024751862577658,96.79980845882444,0,0.0,69.0,29.808637999999995,80.036374,WILDFIRE
3,0.8000000000000002,1.08,302.32666666666665,306.65,3,3,0.1428625025068164,1.0,0.1,1.0,0.8749958965374627,65.99991793074926,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,8.0,52.55767,52.38368666666667,INDUSTRIAL
6,1.2666666666666666,2.07,308.32166666666666,321.78,3,3,0.2731128893072445,1.0,0.1,2.0,0.7854762986054936,67.70952597210987,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,7.0,52.39956333333333,53.72173166666666,INDUSTRIAL
2,0.66,0.79,303.48,304.28,2,2,0.099352313081418,1.0,0.0666666666666666,1.0,0.90962650289702,66.6925300579404,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,32.0,53.534145,49.468355,INDUSTRIAL
5,0.736,0.95,301.28000000000003,306.94,3,3,0.2974754304368186,1.0,0.1,1.6666666666666667,0.7707275039985396,66.24788341330412,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,5.0,53.075198,51.23164800000001,INDUSTRIAL
