latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
22.32452,79.91792,346.01,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.68,12.83,D
22.30972,79.80902,340.42,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.63,5.2,D
22.33401,79.77462,331.56,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.04,4.56,D
22.35246,79.84003,331.86,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,305.42,4.39,D
22.36021,79.86432,337.11,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,306.72,17.85,D
22.33578,79.72226,332.22,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299,3.4,D
22.3472,79.76769,330.23,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.86,3.96,D
22.36643,79.85878,335.66,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,305.11,2.96,D
22.35715,79.80462,329.67,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.87,4.09,D
22.35417,79.76633,331.41,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,302.35,5.55,D
22.04536,78.03063,334.04,0.53,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.77,8.29,D
22.39802,80.00202,337.93,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.15,5.03,D
22.36338,79.79909,331.61,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.43,5.13,D
22.38084,79.81722,332.94,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.38,4.37,D
22.39206,79.84092,339.06,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.8,6.1,D
22.39135,79.83676,332.15,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.49,5.21,D
22.39892,79.81802,331.57,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.56,2.91,D
22.38325,79.72592,338.78,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.35,3.63,D
22.41087,79.86734,341.51,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.29,5.37,D
22.40522,79.83404,335.27,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.83,4.56,D
22.40168,79.81317,331.65,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.18,7.26,D
22.40097,79.809,329.11,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.6,6.03,D
22.40727,79.825,331.23,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,305.16,3.62,D
22.4511,80.06367,329.43,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.7,3.78,D
22.41145,79.8285,331.97,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.87,3.67,D
22.45526,80.00374,328.42,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.65,1.74,D
22.42599,79.80846,336.19,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.33,4.27,D
22.48673,80.12841,333.33,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.45,3.49,D
22.48646,80.12945,331.87,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.51,3.61,D
22.43971,79.81558,332.46,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.43,2.4,D
22.43959,79.79411,333.55,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,303.93,2.97,D
22.46024,79.8932,334.58,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.32,6.48,D
22.44797,79.80108,328.54,0.44,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,302.99,4.3,D
22.49589,80.03911,328.67,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.17,3.69,D
22.45205,79.78307,333.12,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.25,1.3,D
22.49515,80.01391,331.95,0.43,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,302.85,4.65,D
22.45441,79.71319,334.21,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.87,3.57,D
22.53164,79.9984,334.19,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300,3.22,D
22.57224,80.02854,335.86,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.61,4,D
22.60266,80.14935,328.54,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.61,1.03,D
22.60505,79.95504,333.32,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.36,6.2,D
22.60195,79.832,334.67,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.22,4.45,D
23.62815,86.28748,331.77,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.89,2.58,D
23.68689,86.39256,331.65,0.5,0.41,2025-11-05,0739,N21,VIIRS,l,2.0NRT,306.36,8.88,D
23.1636,82.33752,332.55,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.55,4.61,D
23.16802,82.34436,330.35,0.38,0.36,2025-11-05,0739,N21,VIIRS,l,2.0NRT,300.36,4.67,D
23.16745,82.34065,337.77,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.14,4.67,D
23.16688,82.33694,338.56,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.14,4.61,D
22.35885,77.42615,331.25,0.57,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.81,5.46,D
23.77951,86.39137,334.09,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.25,4.11,D
22.39143,77.46983,344.86,0.57,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.98,9.35,D
23.77905,86.20838,340.83,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,308.3,10.68,D
23.76011,85.86068,333.07,0.47,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.57,3.36,D
22.43922,77.46524,333.88,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.54,6.95,D
22.50285,77.58751,333.04,0.55,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.78,6.6,D
22.5175,77.62286,333.44,0.55,0.43,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.63,6.43,D
22.52135,77.62203,330.39,0.55,0.43,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.64,3.12,D
22.49353,77.47314,333.15,0.56,0.43,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.64,4.96,D
22.50132,77.47147,333.24,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.83,4.36,D
22.54933,77.62157,335.81,0.55,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.92,3.35,D
22.54344,77.56791,337.93,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,305.19,12.89,D
22.54829,77.57239,334.52,0.55,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.59,4.63,D
22.5424,77.54048,335.26,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,304.62,3.36,D
22.66936,78.1509,332.49,0.51,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.14,3.44,D
22.50298,77.23969,330.71,0.39,0.44,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304,2.05,D
22.68981,78.15679,330.95,0.51,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.35,2.63,D
22.58138,77.5296,332.59,0.56,0.43,2025-11-05,0739,N21,VIIRS,l,2.0NRT,305.1,4.33,D
22.77394,78.54941,330.85,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.35,8.59,D
22.80255,78.64504,331.6,0.48,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.46,4.76,D
22.60968,77.57307,332.92,0.55,0.43,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.23,8.25,D
22.81689,78.59869,345.57,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.9,15.62,D
22.64551,77.61475,334.09,0.55,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.11,8.68,D
23.07477,80.00021,333.72,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.61,4,D
22.7146,77.9473,330.51,0.53,0.42,2025-11-05,0739,N21,VIIRS,l,2.0NRT,301.22,3.41,D
22.84476,78.56396,336.89,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.71,6.25,D
22.89752,78.77813,333.25,0.48,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301,3.1,D
23.11247,79.95067,329.49,0.42,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,299.84,2.28,D
22.75267,77.94228,333.85,0.53,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.43,7.32,D
22.72094,77.64571,334.96,0.55,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.91,12.46,D
22.70948,77.45602,330.06,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.44,2.42,D
22.72412,77.4696,338.57,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,305.24,8.05,D
22.727,77.46342,337.74,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.5,16.23,D
22.73188,77.46796,347.2,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,307.04,16.23,D
23.20125,80.08121,334.34,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.9,6.77,D
22.89032,78.2912,331.73,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.2,3.9,D
22.67387,77.11408,334.62,0.39,0.44,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.14,2.55,D
22.99589,78.7789,332.62,0.47,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.28,3.36,D
22.99429,78.76977,335.83,0.47,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.56,5.55,D
23.37243,80.37003,334.07,0.41,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,296,4.53,D
23.38835,80.29735,337.42,0.41,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.15,4.45,D
22.57977,75.63227,335.11,0.48,0.48,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.14,1.67,D
22.57885,75.62769,331.26,0.48,0.48,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.37,3.46,D
23.28515,79.35268,332.2,0.44,0.39,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.81,4.15,D
23.45045,80.24425,332.33,0.41,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,295.33,1.97,D
23.40737,79.63601,330.27,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.48,3.21,D
23.54506,80.15665,330.59,0.41,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.61,3.1,D
23.06616,77.41238,330.61,0.56,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.38,4.15,D
24.77246,80.85976,335.87,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.45,5.89,D
23.49693,79.78529,331.84,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.71,3.41,D
24.28478,78.00455,330.38,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.23,3.9,D
24.73574,80.77983,330.42,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.59,1.78,D
24.74112,81.08991,332.85,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.8,2.98,D
