latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.51348,83.21188,355.35,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,301.86,59.16,D,0
19.51785,83.20741,330.31,0.34,0.56,2024-05-04,0703,N20,VIIRS,l,2,302.07,5.43,D,0
19.574,83.40476,333.61,0.33,0.55,2024-05-04,0703,N20,VIIRS,l,2,307.88,8.66,D,0
19.56013,83.33658,349.12,0.33,0.56,2024-05-04,0703,N20,VIIRS,n,2,303.99,3.92,D,0
19.58403,83.37691,332.48,0.33,0.55,2024-05-04,0703,N20,VIIRS,l,2,305.42,1.84,D,0
19.60857,83.4725,341.51,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,305.84,3.01,D,0
20.18978,86.31512,333.34,0.42,0.45,2024-05-04,0703,N20,VIIRS,n,2,303.32,1,D,0
19.63552,83.32488,367,0.33,0.56,2024-05-04,0703,N20,VIIRS,h,2,315.08,10.35,D,0
19.77327,83.99989,339.65,0.6,0.53,2024-05-04,0703,N20,VIIRS,n,2,305.41,5.74,D,0
20.15639,85.93361,332.97,0.44,0.46,2024-05-04,0703,N20,VIIRS,l,2,303.61,3.07,D,0
19.76331,83.90082,335.55,0.61,0.53,2024-05-04,0703,N20,VIIRS,n,2,304.58,7.41,D,0
19.21696,81.27103,349.61,0.46,0.64,2024-05-04,0703,N20,VIIRS,n,2,305.51,6.86,D,0
19.59344,83.01841,355.49,0.35,0.57,2024-05-04,0703,N20,VIIRS,n,2,308.3,5.28,D,0
19.22286,81.27045,341.57,0.46,0.64,2024-05-04,0703,N20,VIIRS,n,2,304.93,6.86,D,0
19.60979,82.99377,347.21,0.35,0.57,2024-05-04,0703,N20,VIIRS,n,2,308.02,2.08,D,0
19.2327,81.17651,367,0.47,0.64,2024-05-04,0703,N20,VIIRS,h,2,301.21,29.03,D,0
19.74726,83.64456,348.82,0.63,0.54,2024-05-04,0703,N20,VIIRS,n,2,309.24,36.53,D,0
19.23366,81.18095,333.31,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,297.95,29.03,D,0
19.23945,81.17972,367,0.47,0.64,2024-05-04,0703,N20,VIIRS,h,2,298.97,29.03,D,0
19.78426,83.80388,336.13,0.62,0.54,2024-05-04,0703,N20,VIIRS,n,2,302.73,6.83,D,0
19.75215,83.64339,351.87,0.63,0.54,2024-05-04,0703,N20,VIIRS,n,2,309.91,36.53,D,0
19.23849,81.17531,345.29,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,307.56,29.03,D,0
19.23755,81.17094,354.05,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,301.16,39.13,D,0
19.24245,81.16556,367,0.47,0.64,2024-05-04,0703,N20,VIIRS,h,2,299.51,28.99,D,0
19.24524,81.17854,344.82,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,297.74,39.52,D,0
19.24431,81.17421,353.7,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,306.62,39.52,D,0
19.24338,81.16989,346.91,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,301.02,28.99,D,0
18.59729,78.28293,330.56,0.74,0.76,2024-05-04,0703,N20,VIIRS,l,2,303.74,5.04,D,0
19.83242,83.94499,336.67,0.6,0.53,2024-05-04,0703,N20,VIIRS,n,2,306.33,8.7,D,0
19.83604,83.93796,336.12,0.6,0.53,2024-05-04,0703,N20,VIIRS,l,2,309.2,9.34,D,0
19.82274,83.87057,348.27,0.61,0.53,2024-05-04,0703,N20,VIIRS,n,2,305.58,8.35,D,0
19.82163,83.86492,338.56,0.61,0.54,2024-05-04,0703,N20,VIIRS,n,2,304.85,8.35,D,0
19.77217,83.61537,341.88,0.64,0.54,2024-05-04,0703,N20,VIIRS,n,2,308.29,7.04,D,0
18.80646,83.82088,347.56,0.32,0.55,2024-05-04,0703,N20,VIIRS,n,2,298.22,2.78,D,0
18.90039,84.24551,340.57,0.6,0.53,2024-05-04,0703,N20,VIIRS,n,2,301.28,11.99,D,0
18.90032,84.24949,337.32,0.6,0.53,2024-05-04,0703,N20,VIIRS,n,2,299.44,4.95,D,0
18.89929,84.24443,332.41,0.6,0.53,2024-05-04,0703,N20,VIIRS,n,2,300.03,4.16,D,0
17.91112,79.64211,332.18,0.63,0.72,2024-05-04,0703,N20,VIIRS,n,2,298.2,2.91,D,0
18.71121,83.07462,333.92,0.36,0.58,2024-05-04,0703,N20,VIIRS,n,2,293.69,2.77,D,0
17.69431,81.83578,367,0.46,0.63,2024-05-04,0703,N20,VIIRS,h,2,296.89,18.83,D,0
17.89328,79.80273,343.79,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,297.53,7.7,D,0
17.86766,79.71951,333.34,0.62,0.72,2024-05-04,0703,N20,VIIRS,n,2,297.7,4.18,D,0
17.81294,79.74667,337.11,0.62,0.71,2024-05-04,0703,N20,VIIRS,n,2,297.59,6.78,D,0
17.8406,79.87045,334.08,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.86,5.27,D,0
18.53136,83.2331,337.13,0.36,0.57,2024-05-04,0703,N20,VIIRS,n,2,298.3,2.46,D,0
18.7127,84.17729,340.23,0.61,0.54,2024-05-04,0703,N20,VIIRS,n,2,298.21,8.94,D,0
18.53807,83.34397,332,0.35,0.57,2024-05-04,0703,N20,VIIRS,n,2,300.12,2.17,D,0
