latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.89604,94.06248,329.45,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,288.72,3.87,D,0
25.89533,94.05948,328.09,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,288.14,4.72,D,0
25.90117,94.05908,352.73,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,294.05,16.96,D,0
25.90041,94.05589,349.88,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,289.28,16.96,D,0
25.89967,94.05279,335.14,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,286.7,10.66,D,0
25.90194,94.06232,356.35,0.44,0.62,2024-04-05,0607,N20,VIIRS,l,2,288.76,23.31,D,0
25.90618,94.05518,328.49,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,286.62,16.96,D,0
25.91124,94.0515,343.2,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,286.86,11.6,D,0
25.91204,94.05491,356.4,0.44,0.62,2024-04-05,0607,N20,VIIRS,l,2,289.04,13,D,0
25.92559,94.06204,329.77,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,281.88,9.29,D,0
25.92412,94.0558,356.23,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,289.35,19.41,D,0
25.92489,94.05907,356.17,0.44,0.62,2024-04-05,0607,N20,VIIRS,l,2,281.93,9.29,D,0
25.59868,92.65293,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,293.35,12.79,D,0
25.81743,93.35493,335.13,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.24,4.57,D,0
25.81629,93.35029,334.12,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.55,4.57,D,0
25.59706,92.38784,334.3,0.56,0.69,2024-04-05,0607,N20,VIIRS,n,2,290.51,5.09,D,0
25.88115,93.28486,344.36,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.17,5.44,D,0
25.73503,92.60236,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,291.38,27.82,D,0
25.77118,92.75069,351.61,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,291.17,6.62,D,0
25.75021,92.63804,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,292.87,99.43,D,0
25.77722,92.74913,340.52,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,290.84,6.62,D,0
25.74907,92.63335,343.23,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.93,63.55,D,0
25.87954,93.28728,330.46,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,291.35,3.56,D,0
25.87837,93.28255,328.65,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,291.47,3.56,D,0
25.90042,93.29633,332.18,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,291.76,3.09,D,0
25.7722,92.75316,345.4,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,290.95,7.55,D,0
25.77094,92.74812,339.34,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,290.96,7.55,D,0
25.73516,92.60519,348.18,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,289.06,14.49,D,0
25.73384,92.59995,355.18,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.86,18.67,D,0
25.75051,92.64061,345.06,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,289.2,56.89,D,0
