cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
126,29.4292775,79.1284675,4,2,22.57847222222222,0.7539141777277818,0.0885799526343308,1.0,0.1771599052686617,0.5701533248881726,39.85768465050236,LOW / TRANSIENT,2.06,3.49,317.895,337.44,,1,WILDFIRE,,0,,0,,0,,0,unknown
127,29.7009125,80.55893875,8,7,24.035416666666663,2.85191625758211,0.2912368900060674,1.0,0.3328421600069342,0.2596110437322204,41.05119634487064,MEDIUM / RECURRENT,3.1,7.69,329.33500000000004,345.99,,1,WILDFIRE,,0,,0,,0,,0,unknown
128,29.968468,79.79743399999998,5,4,21.590972222222224,0.9903029005892744,0.1852626161911807,1.0,0.2315782702389759,0.5024360863383796,41.99606983393686,MEDIUM / RECURRENT,3.844,7.45,329.98999999999995,355.73,,1,WILDFIRE,,0,,0,,0,,0,unknown
129,29.517038000000003,79.712024,5,3,21.475,1.4464524989220406,0.139697322467986,1.0,0.2328288707799767,0.4087551262248589,38.53016655243665,LOW / TRANSIENT,2.39,4.3,326.59,334.58,,1,WILDFIRE,,0,,0,,0,,0,unknown
130,28.757598428571427,79.79625057142854,70,17,26.009027777777774,9.018469482842145,0.6536192027340934,1.0,2.69137318772862,0.0998156456645022,55.255731384440544,MEDIUM / RECURRENT,5.5699999999999985,34.17,331.4792857142857,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
131,29.50726,80.91178333333333,3,3,4.534722222222222,1.6214437557269763,0.6615620214395099,0.6478174603174603,0.6615620214395099,0.3814691800330772,48.30261490185992,MEDIUM / RECURRENT,2.91,5.04,322.18666666666667,339.88,,1,WILDFIRE,,0,,0,,0,,0,unknown
132,29.958363464566933,79.93384039370078,127,17,20.534027777777776,9.964831844677825,0.8278940782576347,1.0,6.184855761101153,0.0912006690267107,68.17001764175373,MEDIUM / RECURRENT,2.900787401574803,15.44,317.43519685039365,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
133,30.19873972222222,79.37989888888889,36,9,21.520833333333332,6.315998745459808,0.4181994191674734,1.0,1.6727976766698935,0.136686737490296,45.71630977400727,MEDIUM / RECURRENT,3.7574999999999994,11.75,322.06083333333333,354.57,,1,WILDFIRE,,0,,0,,0,,0,unknown
134,30.602412,78.32293699999998,30,7,20.01736111111111,5.273200504283294,0.3496964440589766,1.0,1.4986990459670426,0.1594082636633736,43.424938907265734,MEDIUM / RECURRENT,3.4320000000000004,8.05,320.53866666666664,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
135,29.204880000000003,78.87585399999999,5,4,21.00486111111111,0.2202935832444446,0.1904321089694845,1.0,0.2380401362118557,0.8194749310581958,48.53070270751959,MEDIUM / RECURRENT,0.6060000000000001,0.74,304.256,306.29,,1,WILDFIRE,,0,,0,,0,,0,unknown
136,29.572328181818182,80.46974000000002,11,7,19.500694444444445,4.025254224068152,0.35896157544247,1.0,0.56408247569531,0.1989949076029945,42.671718243936965,MEDIUM / RECURRENT,2.399090909090909,8.34,315.84,346.67,,1,WILDFIRE,,0,,0,,0,,0,unknown
137,30.067798333333332,79.56662666666668,6,2,1.0,0.6310756923292864,1.0,0.1428571428571428,6.0,0.6130923320743824,62.83327521291622,MEDIUM / RECURRENT,5.79,15.85,321.44,347.14,,1,WILDFIRE,,0,,0,,0,,0,unknown
138,30.29386322580645,77.81828903225808,31,5,28.052083333333332,4.503132954316218,0.1782398811734125,1.0,1.1050872632751578,0.181714672042528,37.082863808470314,LOW / TRANSIENT,1.8306451612903225,3.87,312.17,332.71,,1,WILDFIRE,,0,,0,,0,,0,unknown
139,29.48972,80.81948666666666,6,2,4.534722222222222,1.4625934518398886,0.4410413476263399,0.6478174603174603,1.32312404287902,0.4060759599814843,42.399650960246134,MEDIUM / RECURRENT,4.823333333333333,8.33,325.47499999999997,343.78,,1,WILDFIRE,,0,,0,,0,,0,unknown
140,29.703406,78.342078,5,3,19.030555555555555,1.2630263622540396,0.157641220259816,1.0,0.2627353670996935,0.4418861470990426,39.88063638527379,LOW / TRANSIENT,3.3340000000000005,4.46,336.604,340.3,,1,WILDFIRE,,0,,0,,0,,0,unknown
141,29.988417272727272,80.08588,11,4,18.560416666666665,3.5162463979910235,0.2155124031877876,1.0,0.592659108766416,0.221422817064373,38.15670867039286,LOW / TRANSIENT,5.507272727272728,15.35,323.4281818181819,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
142,30.36810363636364,78.17721045454545,44,12,28.56875,7.113649573987114,0.4200393786917523,1.0,1.5401443885364252,0.1232490990498363,45.246649012280905,MEDIUM / RECURRENT,4.022500000000001,35.54,319.6486363636364,351.76,,1,WILDFIRE,,0,,0,,0,,0,unknown
143,29.2427775,78.95458500000001,4,3,23.51736111111111,1.1824917817773009,0.1275653329396131,1.0,0.1700871105861509,0.458191874237279,38.96879835880434,LOW / TRANSIENT,3.1975,6.69,322.55,346.51,,1,WILDFIRE,,0,,0,,0,,0,unknown
144,28.854824,79.484546,5,4,21.991666666666667,1.1425880684730114,0.1818870784388025,1.0,0.2273588480485032,0.4667252724471131,41.155270890397354,MEDIUM / RECURRENT,5.444,7.33,345.616,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
145,28.86450736,79.72791896000001,125,18,26.008333333333333,9.828691884764147,0.6920858699134893,1.0,4.806151874399231,0.0923472576966557,60.68225434970369,MEDIUM / RECURRENT,6.666320000000002,23.27,340.02135999999996,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
146,28.953636,79.45651400000001,5,2,26.995833333333337,1.355947618926482,0.0740855070226886,1.0,0.1852137675567217,0.4244576543071288,36.45257336705012,LOW / TRANSIENT,4.254,6.91,346.214,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
147,29.940939545454544,79.17945136363637,22,10,19.030555555555555,3.084314298513217,0.525470734199387,1.0,1.1560356152386513,0.2448391399173229,50.600329725802304,MEDIUM / RECURRENT,6.135454545454545,15.25,335.2031818181818,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
148,28.708376842105263,79.63644105263157,19,7,18.960416666666667,4.199092676938192,0.369190198879244,1.0,1.0020876826722338,0.1923412530104987,43.772657386327985,MEDIUM / RECURRENT,10.604210526315793,103.52,333.7036842105263,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
149,29.48086,80.002295,4,3,27.513194444444444,1.6885922989651283,0.1090385925944622,1.0,0.1453847901259496,0.3719418523905287,36.545957368868656,LOW / TRANSIENT,4.245000000000001,10.56,319.9575,344.59,,1,WILDFIRE,,0,,0,,0,,0,unknown
150,29.821391666666667,80.19571416666668,12,6,14.026388888888889,3.627501224415828,0.4277651252599267,1.0,0.8555302505198534,0.2160993485477119,46.00482685609138,MEDIUM / RECURRENT,1.9783333333333335,4.67,310.595,342.15,,1,WILDFIRE,,0,,0,,0,,0,unknown
