cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,forest_distance_km,farmland_distance_km,population_distance_km,industrial_feature_count,forest_feature_count,farmland_feature_count,population_feature_count,land_cover_type
177,29.57237,74.38941571428572,7,5,21.990972222222226,0.8797307679995015,0.2273660277260239,0.7330324074074074,0.3183124388164335,0.531991079267297,36.58239369935293,7.82,14.97,340.97142857142853,346.02,50.0,1,AGRICULTURAL,,10.618,5.798,1.542,0.0,1.0,1.0,29.0,population
178,29.790881666666664,76.01170166666667,6,3,11.983333333333333,0.7562071413798085,0.2503477051460361,0.3994444444444444,0.5006954102920723,0.56940891335536,30.136459058329574,8.28,11.84,341.4266666666667,352.79,46.666666666666664,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
179,30.522476666666662,76.73192333333334,3,3,5.004861111111111,0.2418155912370647,0.5994172332454558,0.1668287037037037,0.5994172332454558,0.8052725437307691,39.75722854768529,5.483333333333333,6.46,336.74333333333334,339.33,50.0,1,AGRICULTURAL,9.352,7.654,,7.98,9.0,8.0,0.0,37.0,forest
180,30.607432,76.711512,5,3,7.9631944444444445,0.9575907293328366,0.3767332344989971,0.2654398148148148,0.6278887241649952,0.5108320064127032,29.724354344006837,6.042,10.55,338.43999999999994,341.21,50.0,1,AGRICULTURAL,12.91,10.066,,9.515,5.0,2.0,0.0,31.0,population
181,30.723555,75.12484500000001,4,3,15.998611111111112,0.2724506368872452,0.1875162774546401,0.5332870370370371,0.2500217032728535,0.7858851031315978,35.300420570379224,5.245,8.21,337.86,341.98,45.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
182,31.30931,74.676164,5,3,10.00763888888889,0.6664289450750788,0.299771008257581,0.333587962962963,0.4996183470959683,0.6000855919812088,30.583587029165603,8.16,20.09,336.032,340.55,50.0,1,AGRICULTURAL,,,12.057,13.385,0.0,0.0,1.0,6.0,farmland
183,31.274103333333333,74.34031666666665,3,2,8.95138888888889,0.3946744073328366,0.2234290147401086,0.2983796296296296,0.3351435221101629,0.717013228852741,29.340484565274227,5.366666666666667,6.02,339.8233333333333,344.36,50.0,1,AGRICULTURAL,,,,14.767,0.0,0.0,0.0,1.0,population
184,31.61173666666667,75.37610333333333,3,2,6.977777777777778,0.2983041585816529,0.286624203821656,0.2325925925925926,0.4299363057324841,0.7702355364034736,30.89309242186518,8.046666666666667,11.25,335.49666666666667,339.68,50.0,1,AGRICULTURAL,11.131,,11.14,4.477,6.0,0.0,3.0,48.0,population
185,31.984996666666664,74.33755000000001,3,2,6.977777777777778,0.3566648822658723,0.286624203821656,0.2325925925925926,0.4299363057324841,0.7371017065981849,30.230415825759405,4.476666666666667,4.51,330.98333333333335,331.15,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
186,32.04619666666667,74.41160666666666,3,3,6.977777777777778,0.4450433582468718,0.4299363057324841,0.2325925925925926,0.4299363057324841,0.6920207579191264,33.628159909503076,5.846666666666667,6.62,341.9433333333333,343.6,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
187,29.246088571428572,79.03262571428571,7,5,16.986805555555556,0.9863708997760456,0.2943461019582192,0.5662268518518518,0.4120845427415069,0.5034306534156061,34.08487878020876,6.83,19.78,340.6257142857143,354.5,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
188,29.288763333333335,78.95309666666667,3,2,13.955555555555556,0.62183117608005,0.143312101910828,0.4651851851851852,0.214968152866242,0.6165869880593801,28.79815283030768,4.506666666666667,7.69,330.77,333.75,43.333333333333336,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
189,30.14672333333333,75.63566666666667,3,2,1.9736111111111112,0.1858807337927147,1.0,0.065787037037037,1.5200562983814214,0.8432551195951838,52.30991906378315,5.96,6.53,335.74,337.8,43.333333333333336,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
190,30.6329375,75.4170675,4,4,26.010416666666668,0.8775221380547562,0.1537845414497397,0.867013888888889,0.1537845414497397,0.5326168888938213,37.325682597215184,4.5875,7.12,336.27750000000003,340.23,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
191,31.0201525,75.52398,4,3,16.988194444444446,0.4044644066188246,0.1765932224175285,0.5662731481481482,0.235457629890038,0.7120151961753507,34.283573374461675,4.2725,4.66,335.5525,340.39,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
192,30.846951666666666,74.367215,6,3,7.965972222222222,1.337189165880554,0.3766018655740563,0.2655324074074074,0.7532037311481127,0.4278643828229634,28.376663136736425,8.696666666666665,13.77,346.01500000000004,367.0,56.666666666666664,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
193,31.00221666666667,74.64304333333332,3,2,5.004166666666666,0.4317393229496978,0.3996669442131557,0.1668055555555555,0.5995004163197336,0.6984511663336732,31.62792158275636,10.743333333333334,14.81,341.06333333333333,348.41,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
194,31.12492333333333,74.59345,3,2,10.009027777777778,0.2868386372029328,0.1998196072989662,0.3336342592592592,0.2997294109484493,0.7770982088116315,30.626732404054223,8.41,20.7,334.42,340.14,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
195,31.3687475,75.033235,8,5,24.954166666666666,1.5002062039963775,0.2003673401235598,0.8318055555555556,0.3205877441976958,0.3999670100816408,35.606968654722735,7.59125,11.3,339.86875000000003,367.0,53.75,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
