cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
742,26.15732375,81.67535000000001,8,5,5.991666666666666,2.382291649551466,0.8344923504867873,0.8559523809523809,1.3351877607788596,0.2956575315238153,59.189567942881105,MEDIUM / RECURRENT,8.3,15.64,340.03999999999996,351.56,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
743,26.18025,79.98564666666668,3,3,10.008333333333333,1.4100239026454562,0.2997502081598668,1.0,0.2997502081598668,0.4149336439785146,44.38943058148536,MEDIUM / RECURRENT,4.95,7.81,334.1233333333334,338.2,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
744,26.4366575,78.2272625,4,3,3.029861111111111,0.9556465444614964,0.9901443960577584,0.4328373015873015,1.3201925280770113,0.5113398445297068,58.343168348452245,MEDIUM / RECURRENT,5.672499999999999,7.79,327.11,342.19,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
745,26.476335,82.607651,10,7,10.995833333333334,3.4636149762362636,0.636604774535809,1.0,0.9094353921940128,0.2240336600096283,53.58071109333391,MEDIUM / RECURRENT,4.101000000000001,5.96,336.41400000000004,352.02,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
746,26.61188,80.48807,4,4,5.991666666666666,1.7083523866767194,0.6675938803894298,0.8559523809523809,0.6675938803894298,0.3692281716808088,53.48434653183459,MEDIUM / RECURRENT,12.990000000000002,37.89,340.36249999999995,346.08,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
747,26.662585714285715,80.0133,7,5,11.98263888888889,2.0971386117493793,0.4172703564184294,1.0,0.5841784989858012,0.3228786713666531,47.2303928999497,MEDIUM / RECURRENT,5.28,8.7,335.0057142857143,342.04,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
748,26.666163333333333,79.95194,3,2,6.979861111111111,0.221156889608293,0.2865386528703612,0.997123015873016,0.4298079793055417,0.8188955968800758,52.194456143500645,MEDIUM / RECURRENT,5.256666666666667,6.92,336.9266666666667,342.27,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
749,26.66591,83.69092967741936,31,12,11.98263888888889,6.116726950634025,1.0,1.0,2.5870762097942626,0.1405140322140518,67.98443306386956,MEDIUM / RECURRENT,5.4316129032258065,13.49,334.7545161290323,346.68,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
750,26.686202,79.37986599999999,5,4,28.96875,1.9886162268806624,0.1380798274002157,1.0,0.1725997842502697,0.3346030149356914,36.87005382622192,LOW / TRANSIENT,5.262,12.61,336.036,345.83,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
751,26.70762,82.21727666666666,3,2,12.969444444444443,0.9503205531078868,0.1542086099807239,1.0,0.2313129149710859,0.512736226056006,41.114651700387626,MEDIUM / RECURRENT,3.61,4.15,332.70666666666665,335.29,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
752,26.7309275,80.28752,4,2,10.009027777777778,1.2588428052918124,0.1998196072989662,1.0,0.3996392145979324,0.4427045554729574,41.647055794118835,MEDIUM / RECURRENT,7.6225,11.76,337.66499999999996,347.38,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
753,26.751721666666665,79.96651166666668,6,3,5.004861111111111,1.1517064037218216,0.5994172332454558,0.7149801587301587,1.1988344664909116,0.4647474201267854,50.546724467362445,MEDIUM / RECURRENT,3.5500000000000003,7.99,328.6933333333333,340.36,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
